Datetime,CO(GT)
2004-03-15050000,1.0
2004-03-15060000,14.0
2004-03-15070000,22.0
2004-03-15080000,55.0
2004-03-15090000,81.0
2004-03-15100000,58.0
2004-03-15110000,42.0
2004-03-15120000,31.0
2004-03-15130000,29.0
2004-03-15140000,29.0
2004-03-15150000,25.0
2004-03-15160000,23.0
2004-03-15170000,28.0
2004-03-15180000,61.0
2004-03-15190000,8.0
2004-03-15200000,65.0
2004-03-15210000,42.0
2004-03-15220000,32.0
2004-03-15230000,14.0
2004-03-16000000,21.0
2004-03-16010000,12.0
2004-03-16020000,8.0
2004-03-16030000,7.0
2004-03-16050000,6.0
2004-03-16060000,9.0
2004-03-16070000,13.0
2004-03-16080000,34.0
2004-03-16090000,37.0
2004-03-16100000,53.0
2004-03-16110000,41.0
2004-03-16120000,33.0
2004-03-16130000,4.0
2004-03-16140000,38.0
2004-03-16150000,28.0
2004-03-16160000,29.0
2004-03-16170000,29.0
2004-03-16180000,34.0
2004-03-16190000,39.0
2004-03-16200000,32.0
2004-03-16210000,51.0
2004-03-16220000,26.0
2004-03-16230000,17.0
2004-03-17000000,17.0
2004-03-17010000,12.0
2004-03-17020000,9.0
2004-03-17030000,7.0
2004-03-17050000,5.0
2004-03-17060000,5.0
2004-03-17070000,16.0
2004-03-17080000,41.0
2004-03-17090000,66.0
2004-03-17100000,43.0
2004-03-17110000,29.0
2004-03-17120000,25.0
2004-03-17130000,28.0
2004-03-17140000,26.0
2004-03-17150000,2.0
2004-03-17160000,29.0
2004-03-17170000,25.0
2004-03-17180000,5.0
2004-03-17190000,76.0
2004-03-17200000,67.0
2004-03-17210000,57.0
2004-03-17220000,28.0
2004-03-17230000,26.0
2004-03-18000000,23.0
2004-03-18010000,14.0
2004-03-18020000,1.0
2004-03-18030000,7.0
2004-03-18050000,6.0
2004-03-18060000,7.0
2004-03-18070000,15.0
2004-03-18080000,47.0
2004-03-18090000,66.0
2004-03-18100000,45.0
2004-03-18110000,28.0
2004-03-18120000,22.0
2004-03-18130000,22.0
2004-03-18140000,23.0
2004-03-18150000,22.0
2004-03-18160000,28.0
2004-03-18170000,27.0
2004-03-18180000,37.0
2004-03-18190000,51.0
2004-03-18200000,51.0
2004-03-18210000,32.0
2004-03-18220000,21.0
2004-03-18230000,17.0
2004-03-19000000,2.0
2004-03-19010000,16.0
2004-03-19020000,9.0
2004-03-19030000,7.0
2004-03-19050000,5.0
2004-03-19060000,7.0
2004-03-19070000,15.0
2004-03-19080000,48.0
2004-03-19090000,62.0
2004-03-19100000,4.0
2004-03-19110000,33.0
2004-03-19120000,28.0
2004-03-19130000,3.0
2004-03-19140000,33.0
2004-03-19150000,35.0
2004-03-19160000,4.0
2004-03-19170000,46.0
2004-03-19180000,41.0
2004-03-19190000,45.0
2004-03-19200000,39.0
2004-03-19210000,4.0
2004-03-19220000,22.0
2004-03-19230000,21.0
2004-03-20000000,17.0
2004-03-20010000,16.0
2004-03-20020000,13.0
2004-03-20030000,13.0
2004-03-20050000,8.0
2004-03-20060000,8.0
2004-03-20070000,11.0
2004-03-20080000,21.0
2004-03-20090000,24.0
2004-03-20100000,26.0
2004-03-20110000,28.0
2004-03-20120000,26.0
2004-03-20130000,26.0
2004-03-20140000,21.0
2004-03-20150000,17.0
2004-03-20160000,16.0
2004-03-20170000,21.0
2004-03-20180000,23.0
2004-03-20190000,35.0
2004-03-20200000,39.0
2004-03-20210000,33.0
2004-03-20220000,23.0
2004-03-20230000,21.0
2004-03-21000000,28.0
2004-03-21010000,21.0
2004-03-21020000,16.0
2004-03-21030000,16.0
2004-03-21050000,11.0
2004-03-21060000,7.0
2004-03-21070000,8.0
2004-03-21080000,12.0
2004-03-21090000,14.0
2004-03-21100000,17.0
2004-03-21110000,18.0
2004-03-21120000,18.0
2004-03-21130000,19.0
2004-03-21140000,13.0
2004-03-21150000,16.0
2004-03-21160000,19.0
2004-03-21170000,23.0
2004-03-21180000,38.0
2004-03-21190000,35.0
2004-03-21200000,43.0
2004-03-21210000,28.0
2004-03-21220000,19.0
2004-03-21230000,19.0
2004-03-22000000,17.0
2004-03-22010000,15.0
2004-03-22020000,6.0
2004-03-22030000,4.0
2004-03-22050000,3.0
2004-03-22060000,6.0
2004-03-22070000,12.0
2004-03-22080000,36.0
2004-03-22090000,37.0
2004-03-22100000,18.0
2004-03-22110000,16.0
2004-03-22120000,19.0
2004-03-22130000,2.0
2004-03-22140000,22.0
2004-03-22150000,21.0
2004-03-22160000,23.0
2004-03-22170000,26.0
2004-03-22180000,38.0
2004-03-22190000,44.0
2004-03-22200000,45.0
2004-03-22210000,33.0
2004-03-22220000,2.0
2004-03-22230000,11.0
2004-03-23000000,9.0
2004-03-23010000,8.0
2004-03-23020000,7.0
2004-03-23030000,5.0
2004-03-23050000,3.0
2004-03-23060000,5.0
2004-03-23070000,11.0
2004-03-23080000,3.0
2004-03-23090000,38.0
2004-03-23100000,34.0
2004-03-23110000,3.0
2004-03-23120000,27.0
2004-03-23130000,35.0
2004-03-23140000,28.0
2004-03-23150000,19.0
2004-03-23160000,2.0
2004-03-23170000,3.0
2004-03-23180000,19.0
2004-03-23190000,27.0
2004-03-23200000,33.0
2004-03-23210000,17.0
2004-03-23220000,13.0
2004-03-23230000,13.0
2004-03-24000000,12.0
2004-03-24010000,11.0
2004-03-24020000,9.0
2004-03-24030000,6.0
2004-03-24050000,6.0
2004-03-24060000,8.0
2004-03-24070000,12.0
2004-03-24080000,31.0
2004-03-24090000,44.0
2004-03-24100000,34.0
2004-03-24110000,17.0
2004-03-24120000,15.0
2004-03-24130000,17.0
2004-03-24140000,22.0
2004-03-24160000,27.0
2004-03-24170000,28.0
2004-03-24180000,27.0
2004-03-24190000,45.0
2004-03-24200000,35.0
2004-03-24210000,26.0
2004-03-24220000,17.0
2004-03-24230000,13.0
2004-03-25000000,13.0
2004-03-25010000,1.0
2004-03-25020000,7.0
2004-03-25030000,7.0
2004-03-25040000,5.0
2004-03-25050000,5.0
2004-03-25060000,6.0
2004-03-25070000,11.0
2004-03-25080000,27.0
2004-03-25090000,35.0
2004-03-25100000,23.0
2004-03-25110000,16.0
2004-03-25120000,13.0
2004-03-25130000,2.0
2004-03-25140000,19.0
2004-03-25150000,19.0
2004-03-25160000,22.0
2004-03-25170000,2.0
2004-03-25180000,29.0
2004-03-25190000,52.0
2004-03-25200000,46.0
2004-03-25210000,25.0
2004-03-25220000,15.0
2004-03-25230000,12.0
2004-03-26000000,17.0
2004-03-26010000,14.0
2004-03-26020000,12.0
2004-03-26030000,6.0
2004-03-26040000,7.0
2004-03-26050000,8.0
2004-03-26060000,9.0
2004-03-26070000,16.0
2004-03-26080000,34.0
2004-03-26090000,38.0
2004-03-26100000,31.0
2004-03-26110000,27.0
2004-03-26120000,2.0
2004-03-26130000,23.0
2004-03-26140000,19.0
2004-03-26150000,13.0
2004-03-26160000,19.0
2004-03-26170000,23.0
2004-03-26180000,24.0
2004-03-26190000,27.0
2004-03-26200000,26.0
2004-03-26210000,15.0
2004-03-26220000,12.0
2004-03-26230000,11.0
2004-03-27000000,15.0
2004-03-27010000,1.0
2004-03-27020000,12.0
2004-03-27030000,11.0
2004-03-27050000,8.0
2004-03-27060000,9.0
2004-03-27070000,11.0
2004-03-27080000,15.0
2004-03-27090000,18.0
2004-03-27100000,21.0
2004-03-27110000,21.0
2004-03-27120000,19.0
2004-03-27130000,21.0
2004-03-27140000,25.0
2004-03-27150000,19.0
2004-03-27160000,22.0
2004-03-27170000,23.0
2004-03-27180000,27.0
2004-03-27190000,3.0
2004-03-27200000,28.0
2004-03-27210000,22.0
2004-03-27220000,16.0
2004-03-27230000,21.0
2004-03-28000000,23.0
2004-03-28010000,23.0
2004-03-28020000,17.0
2004-03-28030000,22.0
2004-03-28040000,13.0
2004-03-28050000,8.0
2004-03-28060000,11.0
2004-03-28070000,14.0
2004-03-28080000,13.0
2004-03-28090000,19.0
2004-03-28100000,23.0
2004-03-28110000,23.0
2004-03-28120000,18.0
2004-03-28130000,14.0
2004-03-28140000,1.0
2004-03-28150000,14.0
2004-03-28160000,13.0
2004-03-28170000,13.0
2004-03-28180000,14.0
2004-03-28190000,19.0
2004-03-28200000,18.0
2004-03-28210000,11.0
2004-03-28220000,11.0
2004-03-28230000,11.0
2004-03-29000000,9.0
2004-03-29010000,6.0
2004-03-29020000,5.0
2004-03-29030000,7.0
2004-03-29040000,6.0
2004-03-29050000,7.0
2004-03-29060000,9.0
2004-03-29070000,29.0
2004-03-29080000,41.0
2004-03-29090000,15.0
2004-03-29100000,15.0
2004-03-29110000,15.0
2004-03-29120000,14.0
2004-03-29130000,16.0
2004-03-29140000,15.0
2004-03-29150000,14.0
2004-03-29160000,15.0
2004-03-29170000,19.0
2004-03-29180000,25.0
2004-03-29190000,21.0
2004-03-29200000,16.0
2004-03-29210000,12.0
2004-03-29220000,11.0
2004-03-29230000,1.0
2004-03-30000000,1.0
2004-03-30010000,7.0
2004-03-30020000,7.0
2004-03-30030000,8.0
2004-03-30050000,7.0
2004-03-30060000,11.0
2004-03-30070000,26.0
2004-03-30080000,4.0
2004-03-30090000,42.0
2004-03-30100000,47.0
2004-03-30110000,39.0
2004-03-30120000,37.0
2004-03-30130000,34.0
2004-03-30140000,22.0
2004-03-30150000,19.0
2004-03-30160000,16.0
2004-03-30170000,21.0
2004-03-30180000,22.0
2004-03-30190000,27.0
2004-03-30200000,24.0
2004-03-30210000,13.0
2004-03-30220000,12.0
2004-03-30230000,15.0
2004-03-31000000,13.0
2004-03-31010000,1.0
2004-03-31020000,9.0
2004-03-31030000,5.0
2004-03-31040000,5.0
2004-03-31050000,6.0
2004-03-31060000,1.0
2004-03-31070000,31.0
2004-03-31080000,41.0
2004-03-31090000,22.0
2004-03-31100000,17.0
2004-03-31110000,19.0
2004-03-31120000,29.0
2004-03-31130000,22.0
2004-03-31140000,26.0
2004-03-31150000,31.0
2004-03-31160000,23.0
2004-03-31170000,24.0
2004-03-31180000,28.0
2004-03-31190000,27.0
2004-03-31200000,23.0
2004-03-31210000,15.0
2004-03-31220000,14.0
2004-03-31230000,12.0
2004-04-01000000,16.0
2004-04-01010000,12.0
2004-04-01020000,11.0
2004-04-01030000,9.0
2004-04-01040000,7.0
2004-04-01050000,9.0
2004-04-01060000,17.0
2004-04-01070000,42.0
2004-04-01080000,62.0
2004-04-01090000,46.0
2004-04-01100000,28.0
2004-04-01110000,16.0
2004-04-01120000,17.0
2004-04-01130000,17.0
2004-04-01140000,17.0
2004-04-01150000,19.0
2004-04-01160000,23.0
2004-04-01170000,33.0
2004-04-01180000,42.0
2004-04-01190000,55.0
2004-04-01200000,49.0
2004-04-01210000,25.0
2004-04-01220000,2.0
2004-04-01230000,2.0
2004-04-02000000,2.0
2004-04-02010000,13.0
2004-04-02020000,1.0
2004-04-02030000,9.0
2004-04-02050000,7.0
2004-04-02060000,11.0
2004-04-02070000,26.0
2004-04-02080000,39.0
2004-04-02090000,5.0
2004-04-02100000,33.0
2004-04-02110000,29.0
2004-04-02120000,31.0
2004-04-02130000,3.0
2004-04-02140000,27.0
2004-04-02150000,27.0
2004-04-02160000,26.0
2004-04-02170000,37.0
2004-04-02180000,45.0
2004-04-02190000,47.0
2004-04-02200000,55.0
2004-04-02210000,3.0
2004-04-02220000,19.0
2004-04-02230000,23.0
2004-04-03000000,16.0
2004-04-03010000,13.0
2004-04-03020000,12.0
2004-04-03030000,9.0
2004-04-03040000,8.0
2004-04-03050000,8.0
2004-04-03060000,9.0
2004-04-03070000,2.0
2004-04-03080000,3.0
2004-04-03090000,31.0
2004-04-05100000,31.0
2004-04-05110000,3.0
2004-04-05120000,32.0
2004-04-05130000,31.0
2004-04-05140000,25.0
2004-04-05150000,21.0
2004-04-05160000,2.0
2004-04-05170000,32.0
2004-04-05180000,41.0
2004-04-05190000,39.0
2004-04-05200000,31.0
2004-04-05210000,2.0
2004-04-05220000,17.0
2004-04-05230000,16.0
2004-04-06000000,1.0
2004-04-06010000,8.0
2004-04-06020000,5.0
2004-04-06030000,5.0
2004-04-06040000,5.0
2004-04-06050000,8.0
2004-04-06060000,17.0
2004-04-06070000,45.0
2004-04-06080000,62.0
2004-04-06090000,44.0
2004-04-06100000,29.0
2004-04-06110000,16.0
2004-04-06120000,26.0
2004-04-06130000,29.0
2004-04-06140000,25.0
2004-04-06150000,19.0
2004-04-06160000,19.0
2004-04-06170000,27.0
2004-04-06180000,3.0
2004-04-06190000,33.0
2004-04-06200000,32.0
2004-04-06210000,18.0
2004-04-06220000,13.0
2004-04-06230000,11.0
2004-04-07000000,9.0
2004-04-07010000,7.0
2004-04-07020000,4.0
2004-04-07030000,3.0
2004-04-07040000,3.0
2004-04-07050000,3.0
2004-04-07060000,8.0
2004-04-07070000,28.0
2004-04-07080000,31.0
2004-04-07090000,23.0
2004-04-07100000,16.0
2004-04-07110000,15.0
2004-04-07120000,16.0
2004-04-07130000,18.0
2004-04-07140000,14.0
2004-04-07150000,19.0
2004-04-07160000,12.0
2004-04-07170000,23.0
2004-04-07180000,33.0
2004-04-07190000,31.0
2004-04-07200000,33.0
2004-04-07210000,12.0
2004-04-07220000,13.0
2004-04-07230000,19.0
2004-04-08000000,14.0
2004-04-08010000,15.0
2004-04-08020000,11.0
2004-04-08030000,8.0
2004-04-08050000,8.0
2004-04-08060000,11.0
2004-04-08070000,26.0
2004-04-08080000,51.0
2004-04-08090000,42.0
2004-04-08100000,26.0
2004-04-08110000,24.0
2004-04-08120000,21.0
2004-04-08130000,26.0
2004-04-08140000,28.0
2004-04-08150000,25.0
2004-04-08160000,19.0
2004-04-08170000,36.0
2004-04-08180000,46.0
2004-04-08190000,63.0
2004-04-08200000,43.0
2004-04-08210000,16.0
2004-04-08220000,14.0
2004-04-08230000,2.0
2004-04-09000000,24.0
2004-04-09010000,18.0
2004-04-09020000,1.0
2004-04-09030000,1.0
2004-04-09040000,1.0
2004-04-09050000,9.0
2004-04-09060000,15.0
2004-04-09070000,26.0
2004-04-09080000,29.0
2004-04-09090000,27.0
2004-04-09100000,24.0
2004-04-09110000,26.0
2004-04-09120000,41.0
2004-04-09130000,43.0
2004-04-09140000,22.0
2004-04-09150000,34.0
2004-04-09160000,36.0
2004-04-09170000,25.0
2004-04-09180000,28.0
2004-04-09190000,34.0
2004-04-09200000,3.0
2004-04-09210000,21.0
2004-04-09220000,24.0
2004-04-09230000,23.0
2004-04-10000000,13.0
2004-04-10010000,17.0
2004-04-10020000,17.0
2004-04-10030000,1.0
2004-04-10040000,8.0
2004-04-10050000,1.0
2004-04-10060000,14.0
2004-04-10070000,17.0
2004-04-10080000,2.0
2004-04-10090000,2.0
2004-04-10100000,19.0
2004-04-10110000,21.0
2004-04-10120000,18.0
2004-04-10130000,15.0
2004-04-10140000,13.0
2004-04-10150000,14.0
2004-04-10160000,15.0
2004-04-10170000,17.0
2004-04-10180000,2.0
2004-04-10190000,25.0
2004-04-10200000,24.0
2004-04-10210000,2.0
2004-04-10220000,29.0
2004-04-10230000,25.0
2004-04-11000000,14.0
2004-04-11010000,12.0
2004-04-11020000,1.0
2004-04-11030000,1.0
2004-04-11050000,7.0
2004-04-11060000,8.0
2004-04-11070000,9.0
2004-04-11080000,11.0
2004-04-11090000,1.0
2004-04-11100000,16.0
2004-04-11110000,18.0
2004-04-11120000,26.0
2004-04-11130000,11.0
2004-04-11140000,6.0
2004-04-11150000,9.0
2004-04-11160000,1.0
2004-04-11170000,12.0
2004-04-11180000,14.0
2004-04-11190000,2.0
2004-04-11200000,11.0
2004-04-11210000,11.0
2004-04-11220000,11.0
2004-04-11230000,11.0
2004-04-12000000,7.0
2004-04-12010000,6.0
2004-04-12020000,7.0
2004-04-12030000,6.0
2004-04-12040000,3.0
2004-04-12050000,3.0
2004-04-12060000,4.0
2004-04-12070000,5.0
2004-04-12080000,6.0
2004-04-12090000,8.0
2004-04-12100000,1.0
2004-04-12110000,13.0
2004-04-12120000,11.0
2004-04-12130000,6.0
2004-04-12140000,7.0
2004-04-12150000,12.0
2004-04-12160000,14.0
2004-04-12170000,12.0
2004-04-12180000,13.0
2004-04-12190000,18.0
2004-04-12200000,12.0
2004-04-12210000,8.0
2004-04-12220000,8.0
2004-04-12230000,8.0
2004-04-13000000,7.0
2004-04-13010000,5.0
2004-04-13020000,3.0
2004-04-13030000,4.0
2004-04-13040000,3.0
2004-04-13050000,7.0
2004-04-13060000,16.0
2004-04-13070000,39.0
2004-04-13080000,45.0
2004-04-13090000,27.0
2004-04-13100000,16.0
2004-04-13110000,16.0
2004-04-13120000,16.0
2004-04-13130000,15.0
2004-04-13140000,18.0
2004-04-13150000,21.0
2004-04-13160000,17.0
2004-04-13170000,3.0
2004-04-13180000,46.0
2004-04-13190000,5.0
2004-04-13200000,35.0
2004-04-13210000,21.0
2004-04-13220000,21.0
2004-04-13230000,15.0
2004-04-14000000,11.0
2004-04-14010000,9.0
2004-04-14020000,7.0
2004-04-14030000,4.0
2004-04-14050000,9.0
2004-04-14060000,16.0
2004-04-14070000,39.0
2004-04-14080000,5.0
2004-04-14090000,43.0
2004-04-14100000,27.0
2004-04-14110000,21.0
2004-04-14120000,21.0
2004-04-15090000,39.0
2004-04-15100000,38.0
2004-04-15110000,38.0
2004-04-15120000,39.0
2004-04-15130000,35.0
2004-04-15140000,4.0
2004-04-15150000,3.0
2004-04-15160000,31.0
2004-04-15170000,52.0
2004-04-15180000,59.0
2004-04-15190000,73.0
2004-04-15200000,61.0
2004-04-15210000,46.0
2004-04-15220000,25.0
2004-04-15230000,22.0
2004-04-16000000,2.0
2004-04-16010000,19.0
2004-04-16020000,16.0
2004-04-16030000,1.0
2004-04-16040000,1.0
2004-04-16050000,12.0
2004-04-16060000,2.0
2004-04-16070000,45.0
2004-04-16080000,41.0
2004-04-16090000,26.0
2004-04-16100000,23.0
2004-04-16110000,26.0
2004-04-16120000,24.0
2004-04-16130000,43.0
2004-04-16140000,46.0
2004-04-16150000,4.0
2004-04-16160000,47.0
2004-04-16170000,57.0
2004-04-16180000,52.0
2004-04-16190000,64.0
2004-04-16200000,6.0
2004-04-16210000,34.0
2004-04-16220000,27.0
2004-04-16230000,31.0
2004-04-17000000,26.0
2004-04-17010000,22.0
2004-04-17020000,19.0
2004-04-23050000,6.0
2004-04-23060000,8.0
2004-04-23070000,4.0
2004-04-23080000,56.0
2004-04-23090000,5.0
2004-04-23100000,32.0
2004-04-23110000,38.0
2004-04-23120000,33.0
2004-04-23130000,3.0
2004-04-23140000,32.0
2004-04-23150000,44.0
2004-04-23160000,46.0
2004-04-23170000,52.0
2004-04-23180000,48.0
2004-04-23190000,56.0
2004-04-23200000,46.0
2004-04-23210000,18.0
2004-04-23220000,22.0
2004-04-23230000,2.0
2004-04-24000000,28.0
2004-04-24010000,26.0
2004-04-24020000,18.0
2004-04-24030000,11.0
2004-04-24050000,7.0
2004-04-24060000,9.0
2004-04-24070000,15.0
2004-04-24080000,25.0
2004-04-24090000,3.0
2004-04-24100000,26.0
2004-04-24110000,26.0
2004-04-24120000,26.0
2004-04-24130000,19.0
2004-04-24140000,2.0
2004-04-24150000,17.0
2004-04-24160000,19.0
2004-04-24170000,18.0
2004-04-24180000,28.0
2004-04-24190000,35.0
2004-04-24200000,34.0
2004-04-24210000,2.0
2004-04-24220000,11.0
2004-04-24230000,13.0
2004-04-25000000,12.0
2004-04-25010000,13.0
2004-04-25020000,1.0
2004-04-25030000,13.0
2004-04-25050000,3.0
2004-04-25060000,5.0
2004-04-25070000,6.0
2004-04-25080000,6.0
2004-04-25090000,8.0
2004-04-25100000,1.0
2004-04-25110000,9.0
2004-04-25120000,1.0
2004-04-25130000,8.0
2004-04-25140000,7.0
2004-04-25150000,9.0
2004-04-25160000,13.0
2004-04-25170000,14.0
2004-04-25180000,15.0
2004-04-25190000,27.0
2004-04-25200000,25.0
2004-04-25210000,14.0
2004-04-25220000,28.0
2004-04-25230000,21.0
2004-04-26000000,11.0
2004-04-26010000,7.0
2004-04-26020000,4.0
2004-04-26030000,3.0
2004-04-26050000,4.0
2004-04-26060000,8.0
2004-04-26070000,19.0
2004-04-26080000,21.0
2004-04-26090000,14.0
2004-04-26100000,14.0
2004-04-26110000,13.0
2004-04-26120000,15.0
2004-04-26130000,16.0
2004-04-26140000,13.0
2004-04-26150000,14.0
2004-04-26160000,15.0
2004-04-26170000,22.0
2004-04-26180000,32.0
2004-04-26190000,3.0
2004-04-26200000,26.0
2004-04-26210000,16.0
2004-04-26220000,15.0
2004-04-26230000,12.0
2004-04-27000000,8.0
2004-04-27010000,7.0
2004-04-27020000,5.0
2004-04-27030000,5.0
2004-04-27050000,7.0
2004-04-27060000,14.0
2004-04-27070000,41.0
2004-04-27080000,46.0
2004-04-27090000,19.0
2004-04-27100000,19.0
2004-04-27110000,17.0
2004-04-27120000,24.0
2004-04-27130000,3.0
2004-04-27140000,2.0
2004-04-27150000,27.0
2004-04-27160000,22.0
2004-04-27170000,29.0
2004-04-27180000,34.0
2004-04-27190000,39.0
2004-04-27200000,36.0
2004-04-27210000,25.0
2004-04-27220000,18.0
2004-04-27230000,2.0
2004-04-28000000,13.0
2004-04-28010000,1.0
2004-04-28020000,6.0
2004-04-28030000,6.0
2004-04-28050000,5.0
2004-04-28060000,11.0
2004-04-28070000,55.0
2004-04-28080000,42.0
2004-04-28090000,46.0
2004-04-28100000,34.0
2004-04-28110000,28.0
2004-04-28120000,25.0
2004-04-28130000,24.0
2004-04-28140000,32.0
2004-04-28150000,35.0
2004-04-28160000,29.0
2004-04-28170000,36.0
2004-04-28180000,48.0
2004-04-28190000,54.0
2004-04-28200000,53.0
2004-04-28210000,27.0
2004-04-28220000,14.0
2004-04-28230000,16.0
2004-04-29000000,15.0
2004-04-29010000,1.0
2004-04-29020000,6.0
2004-04-29030000,4.0
2004-04-29050000,8.0
2004-04-29060000,15.0
2004-04-29070000,49.0
2004-04-29080000,72.0
2004-04-29090000,35.0
2004-04-29100000,21.0
2004-04-29110000,15.0
2004-04-29120000,2.0
2004-04-29130000,38.0
2004-04-29140000,34.0
2004-04-29150000,44.0
2004-04-29160000,39.0
2004-04-29170000,49.0
2004-04-29180000,54.0
2004-04-29190000,65.0
2004-04-29200000,43.0
2004-04-29210000,29.0
2004-04-29220000,27.0
2004-04-29230000,28.0
2004-04-30000000,23.0
2004-04-30010000,17.0
2004-04-30020000,12.0
2004-04-30030000,1.0
2004-04-30050000,8.0
2004-04-30060000,17.0
2004-04-30070000,3.0
2004-04-30080000,34.0
2004-04-30090000,33.0
2004-04-30100000,27.0
2004-04-30110000,26.0
2004-04-30120000,32.0
2004-04-30130000,34.0
2004-04-30140000,26.0
2004-04-30150000,34.0
2004-04-30160000,4.0
2004-04-30170000,45.0
2004-04-30180000,42.0
2004-04-30190000,57.0
2004-04-30200000,44.0
2004-04-30210000,31.0
2004-04-30220000,3.0
2004-04-30230000,31.0
2004-05-01000000,35.0
2004-05-01010000,24.0
2004-05-01020000,16.0
2004-05-01030000,13.0
2004-05-01050000,6.0
2004-05-01060000,7.0
2004-05-01070000,12.0
2004-05-01080000,15.0
2004-05-01090000,18.0
2004-05-01100000,21.0
2004-05-01110000,19.0
2004-05-01120000,2.0
2004-05-01130000,13.0
2004-05-01140000,13.0
2004-05-01150000,18.0
2004-05-01160000,2.0
2004-05-01170000,18.0
2004-05-01180000,24.0
2004-05-01190000,4.0
2004-05-01200000,28.0
2004-05-01210000,2.0
2004-05-01220000,36.0
2004-05-01230000,37.0
2004-05-02000000,23.0
2004-05-02010000,18.0
2004-05-02020000,9.0
2004-05-02030000,16.0
2004-05-02050000,6.0
2004-05-02060000,7.0
2004-05-02070000,8.0
2004-05-02080000,12.0
2004-05-02090000,14.0
2004-05-02100000,16.0
2004-05-02110000,13.0
2004-05-02120000,13.0
2004-05-02130000,11.0
2004-05-02140000,12.0
2004-05-02150000,15.0
2004-05-02160000,11.0
2004-05-02170000,19.0
2004-05-02180000,23.0
2004-05-02190000,33.0
2004-05-02200000,26.0
2004-05-02210000,22.0
2004-05-02220000,23.0
2004-05-02230000,2.0
2004-05-03000000,16.0
2004-05-03010000,8.0
2004-05-03020000,6.0
2004-05-03030000,4.0
2004-05-03050000,7.0
2004-05-03060000,13.0
2004-05-03070000,34.0
2004-05-03080000,47.0
2004-05-03090000,34.0
2004-05-03100000,25.0
2004-05-03110000,2.0
2004-05-03120000,19.0
2004-05-03130000,17.0
2004-05-03140000,14.0
2004-05-03150000,15.0
2004-05-03160000,24.0
2004-05-03170000,39.0
2004-05-03180000,42.0
2004-05-03190000,37.0
2004-05-03200000,32.0
2004-05-03210000,2.0
2004-05-03220000,11.0
2004-05-03230000,15.0
2004-05-04000000,13.0
2004-05-04010000,1.0
2004-05-04020000,6.0
2004-05-04030000,4.0
2004-05-04050000,6.0
2004-05-04060000,19.0
2004-05-04070000,45.0
2004-05-04080000,43.0
2004-05-04090000,32.0
2004-05-04100000,13.0
2004-05-04110000,22.0
2004-05-04120000,26.0
2004-05-04130000,23.0
2004-05-04140000,24.0
2004-05-04150000,26.0
2004-05-04160000,12.0
2004-05-04170000,16.0
2004-05-04180000,39.0
2004-05-04190000,47.0
